id;placa;cor;ano;valor
1;Islands;bandwidth Sausages Unbranded Plastic Gloves;1927;74598
2;Bacon Germany quantifying;access aggregate scalable;2007;51587
3;silver;invoice ivory salmon;1934;31179
4;British Indian Ocean Territory (Chagos Archipelago) cultivate;Lake front-end;2057;74759
5;Rustic Frozen Mouse backing up;back-end Internal Central;1988;2055
6;withdrawal;Avon;1997;70236
7;Enterprise-wide;Wooden;1971;89956
8;niches Product GB;Virgin Islands, U.S. synthesize;1937;10644
9;emulation Iranian Rial Concrete;withdrawal Dynamic Fantastic;1920;23342
10;Salad;programming;1924;99444
